Date,Description,Status
01/01/2024 00:00:00,Yeni Yıl Tatili,Kapalı
04/23/2024 00:00:00,Ulusal Egemenlik ve Çocuk Bayramı,Kapalı
05/01/2024 00:00:00,Emek ve Dayanışma Günü,Kapalı
05/19/2024 00:00:00,Atatürk'ü Anma Gençlik ve Spor Bayramı,Kapalı
07/16/2024 00:00:00,Ramazan Bayramı Arefesi (Yarım Gün Tatil),Saat 13:00'e kadar
08/30/2024 00:00:00,Zafer Bayramı,Kapalı
09/23/2024 00:00:00,Kurban Bayramı Arefesi (Yarım Gün Tatil),Saat 13:00'e kadar
10/28/2024 00:00:00,Cumhuriyet Bayramı (Yarım Gün Tatil),Saat 13:00'e kadar
10/29/2024 00:00:00,Cumhuriyet Bayramı,Kapalı
07/31/2024 00:00:00,Kurban Bayramı,Kapalı
01/01/2024 00:00:00,Yeni Yıl Tatili,Kapalı
04/09/2024 00:00:00,Ramazan Bayramı Arefesi (Yarım Gün Tatil),Saat 13:00'e kadar
04/23/2024 00:00:00,Ulusal Egemenlik ve Çocuk Bayramı,Kapalı
05/01/2024 00:00:00,Emek ve Dayanışma Günü,Kapalı
05/19/2024 00:00:00,Atatürk'ü Anma Gençlik ve Spor Bayramı,Kapalı
06/15/2024 00:00:00,Kurban Bayramı Arefesi (Yarım Gün Tatil),Kapalı
07/15/2024 00:00:00,Demokrasi ve Milli Birlik Günü,Kapalı
08/30/2024 00:00:00,Zafer Bayramı,Kapalı
10/28/2024 00:00:00,Cumhuriyet Bayramı (Yarım Gün Tatil),Saat 13:00'e kadar
10/29/2024 00:00:00,Cumhuriyet Bayramı,Kapalı
